node,new_score,original_sco,diff
anon_S4765E,541.065089055,515.0,26.065089055
anon_S1462E,514.620818014,438.0,76.620818014
anon_S1098E,540.756003969,506.0,34.756003969
anon_S4171E,557.989619806,511.0,46.989619806
anon_S4883E,575.303061334,581.0,-5.696938666
anon_S2596E,612.157262445,506.0,106.157262445
anon_S4912E,568.999138522,625.0,-56.000861478
anon_S746E,577.085026026,554.0,23.085026026
anon_S1744E,634.402564787,713.0,-78.597435213
anon_S1398E,549.486887405,549.0,0.486887405
anon_S1513E,589.021841734,524.0,65.021841734
anon_S4044E,573.265033892,607.0,-33.734966108
anon_S392E,577.656473217,577.0,0.656473217
anon_S1807E,670.566722821,526.0,144.566722821
anon_S2761E,663.007692078,728.0,-64.992307922
anon_S5185E,534.702593796,396.0,138.702593796
anon_S2217E,623.861685676,538.0,85.861685676
anon_S97E,585.012777933,576.0,9.012777933
anon_S1644E,604.441059394,626.0,-21.558940606
anon_S2282E,666.773267161,556.0,110.773267161
anon_S2161E,601.087201592,628.0,-26.912798408
anon_S1221E,588.581360714,477.0,111.581360714
anon_S4546E,575.0,575.0,0.0
anon_S2430E,653.842263539,415.0,238.842263539
anon_S6045E,542.875120248,505.0,37.875120248
anon_S223E,523.383029418,441.0,82.383029418
anon_S3487E,628.289293346,665.0,-36.710706654
anon_S3035E,544.320435417,280.0,264.320435417
anon_S2473E,663.770598414,545.0,118.770598414
anon_S4473E,549.162153416,526.0,23.162153416
anon_S3155E,544.862434647,575.0,-30.137565353
anon_S3068E,623.861685676,719.0,-95.138314324
anon_S3108E,638.676323009,633.0,5.676323009
anon_S15E,561.159529931,757.0,-195.840470069
anon_S482E,596.530531349,547.0,49.530531349
anon_S2370E,642.239850894,657.0,-14.760149106
anon_S4741E,513.229688911,379.0,134.229688911
anon_S31E,560.979586351,644.0,-83.020413649
anon_S4317E,544.779535811,548.0,-3.220464189
anon_S5255E,578.185925317,689.0,-110.814074683
anon_S3479E,606.980019144,503.0,103.980019144
anon_S4581E,590.192883229,646.0,-55.807116771
anon_S5027E,535.81897121,536.0,-0.18102879
anon_S3889E,431.760343236,372.0,59.760343236
anon_S3784E,560.613316435,559.0,1.613316435
anon_S4115E,655.030130699,566.0,89.030130699
anon_S3446E,663.138082867,653.0,10.138082867
anon_S3854E,549.248454816,390.0,159.248454816
anon_S570E,490.68861177,416.0,74.68861177
anon_S948E,608.0,608.0,0.0
anon_S3194E,611.432489898,594.0,17.432489898
anon_S1183E,609.946389473,681.0,-71.053610527
anon_S4028E,657.306029673,573.0,84.306029673
anon_S828E,428.0,428.0,0.0
anon_S2333E,623.861685676,718.0,-94.138314324
anon_S3997E,633.322606157,634.0,-0.677393843
anon_S4510E,555.251178788,512.0,43.251178788
anon_S875E,641.0,641.0,0.0
anon_S1850E,650.143524804,492.0,158.143524804
anon_S4190E,568.208896781,547.0,21.208896781
anon_S1625E,589.915691377,519.0,70.915691377
anon_S2145E,634.047517816,666.0,-31.952482184
anon_S5321E,560.234601192,566.0,-5.765398808
anon_S2610E,665.945518907,557.0,108.945518907
anon_S1130E,621.0,621.0,0.0
anon_S1945E,667.081604005,683.0,-15.918395995
anon_S5619E,523.003212119,509.0,14.003212119
anon_S5026E,619.306340737,629.0,-9.693659263
anon_S1607E,637.266267885,533.0,104.266267885
anon_S1276E,682.0,682.0,0.0
anon_S5299E,569.061587572,573.0,-3.938412428
anon_S4959E,607.082612332,581.0,26.082612332
anon_S1082E,573.601090539,590.0,-16.398909461
anon_S1730E,573.211758733,541.0,32.211758733
anon_S1341E,591.218445454,583.0,8.218445454
anon_S4234E,645.037210849,324.0,321.037210849
anon_S6033E,466.446051454,414.0,52.446051454
anon_S2424E,649.302016335,736.0,-86.697983665
anon_S4864E,562.522339153,745.0,-182.477660847
anon_S2314E,654.409094831,530.0,124.409094831
anon_S5429E,568.72126392,551.0,17.72126392
anon_S2041E,651.547008547,548.0,103.547008547
anon_S1581E,644.891839107,661.0,-16.108160893
anon_S147E,569.107171125,565.0,4.107171125
anon_S42E,561.688232452,780.0,-218.311767548
anon_S5073E,576.104765761,571.0,5.104765761
anon_S6092E,570.896223847,545.0,25.896223847
anon_S5412E,579.46373282,586.0,-6.53626718
anon_S5952E,563.771552608,688.0,-124.228447392
